"";"country";"year";"imports";"exports"
"415";"Denmark";1998;54,0225;58,8839
"416";"Germany";1998;503,745;530,284
"417";"Estonia";1998;4,21641;3,73146
"418";"Ireland";1998;59,1742;68,002
"419";"Greece";1998;33,51834;21,03192
"420";"Spain";1998;147,1184;144,3736
"421";"France";1998;313,3722;348,2855
"422";"Croatia";1998;8,23649;6,69446
"423";"Italy";1998;238,5382;272,8744
"424";"Cyprus";1998;6,06012;6,28759
"425";"Latvia";1998;3,28553;2,51208
"426";"Lithuania";1998;5,06606;3,92282
"427";"Luxembourg";1998;19,2705;22,7859
"428";"Hungary";1998;23,6283;22,9704
"429";"Malta";1998;4,01103;3,91751
"430";"Netherlands";1998;207,2142;230,8839
"431";"Austria";1998;75,1443;74,7889
"432";"Poland";1998;47,4746;40,2069
"433";"Portugal";1998;40,39874;30,24946
"434";"Romania";1998;11,42427;8,5304
"435";"Slovenia";1998;9,73163;9,3969
"436";"Slovakia";1998;11,63357;9,47854
"437";"Finland";1998;35,35529;44,8267
"438";"Sweden";1998;82,5882;97,601
"439";"United Kingdom";1998;358,1754;346,4817
"440";"Belgium";1999;146,776;156,057
"441";"Bulgaria";1999;6,05972;5,47387
"442";"Denmark";1999;55,7583;65,7761
"443";"Germany";1999;543,646;558,369
"444";"Estonia";1999;4,01464;3,77759
"445";"Ireland";1999;68,1184;80,4016
"446";"Greece";1999;39,35422;26,94762
"447";"Spain";1999;168,434;156,883
"448";"France";1999;331,102;362,177
"449";"Croatia";1999;8,00995;6,68197
"450";"Italy";1999;251,6622;272,4728
"451";"Cyprus";1999;6,32526;6,58538
"452";"Latvia";1999;3,15938;2,46825
"453";"Lithuania";1999;4,36427;3,33657
"454";"Luxembourg";1999;22,6211;27,305
"455";"Hungary";1999;26,8523;25,6115
"456";"Malta";1999;4,39726;4,30897
"457";"Netherlands";1999;227,729;249,9
"458";"Austria";1999;79,2083;80,2296
"459";"Poland";1999;47,6162;38,4224
"460";"Portugal";1999;44,05271;31,67072
"461";"Romania";1999;10,93673;9,40374
"462";"Slovenia";1999;10,28169;9,36263
"463";"Slovakia";1999;10,11182;9,2543
"464";"Finland";1999;36,343;47,726
"465";"Sweden";1999;88,8572;104,2708
"466";"United Kingdom";1999;392,6736;368,1281
"467";"Belgium";2000;178,745;185,552
"468";"Bulgaria";2000;5,98287;5,21814
"469";"Denmark";2000;67,9652;79,9113
"470";"Germany";2000;646,806;652,501
"471";"Estonia";2000;4,00344;3,80342
"472";"Ireland";2000;87,4093;102,4091
"473";"Greece";2000;49,60876;33,91156
"474";"Spain";2000;204,355;184,932
"475";"France";2000;402,308;418,461
"476";"Croatia";2000;9,32767;8,60912
"477";"Italy";2000;307,5454;317,9683
"478";"Cyprus";2000;7,29656;7,55919
"479";"Latvia";2000;3,86282;3,17517
"480";"Lithuania";2000;5,58719;4,81486
"481";"Luxembourg";2000;28,4953;34,2695
"482";"Hungary";2000;36,097;34,2306
"483";"Malta";2000;5,56076;5,24458
"484";"Netherlands";2000;268,653;297,929
"485";"Austria";2000;89,6363;92,5905
"486";"Poland";2000;62,5515;50,7486
"487";"Portugal";2000;50,40059;36,21575
"488";"Romania";2000;15,50171;13,34699
